"","TimePeriod","position","water_year","Node","Species","Life_Stage","Hydraulic","bottom_type","Low.Seasonal","Medium.Seasonal","High.Seasonal","Suitability_Class"
"1","critical","LOB",NA,"11101250","Willow","Seedling","Shear","Soft",0,100,99.3335180145681,"High"
"2","critical","MC",NA,"11101250","Willow","Seedling","Shear","Soft",0,99.9820750566265,95.7550475010999,"High"
"3","critical","ROB",NA,"11101250","Willow","Seedling","Shear","Soft",0,100,98.9636123649518,"High"
"4","critical","LOB",NA,"F300","Willow","Seedling","Shear","Soft",0,100,97.7088663288086,"High"
"5","critical","MC",NA,"F300","Willow","Seedling","Shear","Soft",0,100,0.0586634510404615,"Low"
"6","critical","ROB",NA,"F300","Willow","Seedling","Shear","Soft",0,100,97.7088663288086,"High"
"7","critical","MC",NA,"F319","Willow","Seedling","Shear","Concrete",0,99.9397070086529,0.00162954030667949,"Low"
"8","critical","MC",NA,"F34D","Willow","Seedling","Shear","Concrete",0,100,0,"Low"
"9","critical","MC",NA,"F37BHigh","Willow","Seedling","Shear","Soft",0,100,99.4394381345023,"High"
"10","critical","LOB",NA,"F37BLow","Willow","Seedling","Shear","Soft",0,99.2862613456744,0.707220493098897,"Low"
"11","critical","MC",NA,"F37BLow","Willow","Seedling","Shear","Soft",0,95.3590692065768,4.61974676943634,"Low"
"12","critical","ROB",NA,"F37BLow","Willow","Seedling","Shear","Soft",0,78.8583440611404,9.65013769615591,"Low"
"13","critical","MC",NA,"F45B","Willow","Seedling","Shear","Concrete",0,99.9853341372399,97.4367330975932,"High"
"14","critical","LOB",NA,"F57C","Willow","Seedling","Shear","Soft",99.1298254762332,98.0966969217984,0.00162954030667949,"Partial"
"15","critical","MC",NA,"F57C","Willow","Seedling","Shear","Soft",99.0043508726188,97.920706568677,0.00162954030667949,"Partial"
"16","critical","ROB",NA,"F57C","Willow","Seedling","Shear","Soft",99.654537454984,99.1379731777666,97.8522658757964,"High"
"17","critical","LOB",NA,"GLEN","Willow","Seedling","Shear","Soft",99.6724623983574,98.561115909202,0.00162954030667949,"Partial"
"18","critical","MC",NA,"GLEN","Willow","Seedling","Shear","Soft",99.8093437841185,99.2715954829143,0,"Partial"
"19","critical","ROB",NA,"GLEN","Willow","Seedling","Shear","Soft",99.8174914856519,99.0336825981391,0.00162954030667949,"Partial"
"20","critical","MC",NA,"LA1","Willow","Seedling","Shear","Concrete",0,99.9005980412926,0.00162954030667949,"Low"
"21","critical","LOB",NA,"LA11","Willow","Seedling","Shear","Soft",99.9038571219059,0,94.743102970652,"High"
"22","critical","MC",NA,"LA11","Willow","Seedling","Shear","Soft",99.5942444636368,20.7342708621898,0.00162954030667949,"Partial"
"23","critical","ROB",NA,"LA11","Willow","Seedling","Shear","Soft",99.8826730979191,99.3775156028484,97.0912705525771,"High"
"24","critical","MC",NA,"LA13","Willow","Seedling","Shear","Concrete",0,0.0195544836801538,0.299835416429025,"Low"
"25","critical","LOB",NA,"LA14","Willow","Seedling","Shear","Soft",0,63.9333843922629,0.0488862092003846,"Partial"
"26","critical","MC",NA,"LA14","Willow","Seedling","Shear","Soft",99.2406342170874,0,97.3731810256327,"High"
"27","critical","ROB",NA,"LA14","Willow","Seedling","Shear","Soft",98.2238010657194,0.231394723548487,0.00162954030667949,"Partial"
"28","critical","LOB",NA,"LA2","Willow","Seedling","Shear","Soft",0,99.9804455163198,98.1846920983591,"High"
"29","critical","MC",NA,"LA2","Willow","Seedling","Shear","Soft",99.9869636775466,99.7164599866378,91.6241628236674,"High"
"30","critical","ROB",NA,"LA2","Willow","Seedling","Shear","Soft",0,99.9804455163198,97.285185849072,"High"
"31","critical","LOB",NA,"LA20","Willow","Seedling","Shear","Soft",0,100,98.30201900044,"High"
"32","critical","MC",NA,"LA20","Willow","Seedling","Shear","Soft",0,100,27.8879528085127,"Low"
"33","critical","ROB",NA,"LA20","Willow","Seedling","Shear","Soft",0,100,98.2270601463327,"High"
"34","critical","LOB",NA,"LA202","Willow","Seedling","Shear","Soft",99.2569296201542,99.2569296201542,99.2569296201542,"High"
"35","critical","MC",NA,"LA202","Willow","Seedling","Shear","Soft",0.00814770153339743,0.00814770153339743,0.00814770153339743,"Low"
"36","critical","ROB",NA,"LA202","Willow","Seedling","Shear","Soft",99.7327553897046,99.6854987208109,99.5453582544364,"High"
"37","critical","LOB",NA,"LA3","Willow","Seedling","Shear","Soft",0,99.9364479280395,55.6015448042107,"Low"
"38","critical","MC",NA,"LA3","Willow","Seedling","Shear","Soft",0,99.7523098733847,0.00162954030667949,"Low"
"39","critical","ROB",NA,"LA3","Willow","Seedling","Shear","Soft",0,99.8973389606792,17.0466211481741,"Low"
"40","critical","LOB",NA,"LA8","Willow","Seedling","Shear","Soft",0,100,0.109179200547526,"Low"
"41","critical","MC",NA,"LA8","Willow","Seedling","Shear","Soft",0,100,0.00162954030667949,"Low"
"42","critical","ROB",NA,"LA8","Willow","Seedling","Shear","Soft",0,100,92.205908713152,"High"
