"","TimePeriod","position","water_year","Node","Species","Life_Stage","Hydraulic","bottom_type","Low.Seasonal","Medium.Seasonal","High.Seasonal","Suitability_Class"
"1","critical","LOB",NA,"11101250","Willow","Seedling","Depth","Soft",95.7517884204866,94.8196913650659,93.4997637166555,"High"
"2","critical","MC",NA,"11101250","Willow","Seedling","Depth","Soft",2.36446298499193,1.05431257842163,0.369905649616243,"Low"
"3","critical","ROB",NA,"11101250","Willow","Seedling","Depth","Soft",94.5263741098636,93.4997637166555,92.2678312448058,"High"
"4","critical","LOB",NA,"F300","Willow","Seedling","Depth","Soft",98.6898495934297,98.434011765281,97.7789365619959,"High"
"5","critical","MC",NA,"F300","Willow","Seedling","Depth","Soft",1.94893020678866,0.897876708980397,0.381312431763,"Low"
"6","critical","ROB",NA,"F300","Willow","Seedling","Depth","Soft",98.6898495934297,98.434011765281,97.7789365619959,"High"
"7","critical","MC",NA,"F319","Willow","Seedling","Depth","Concrete",0.131992764841038,0.00162954030667949,0.00162954030667949,"Low"
"8","critical","MC",NA,"F34D","Willow","Seedling","Depth","Concrete",89.4878354816106,0.00651816122671794,0.00162954030667949,"Partial"
"9","critical","MC",NA,"F37BHigh","Willow","Seedling","Depth","Soft",99.15589812114,98.815324197044,97.8913748431567,"High"
"10","critical","LOB",NA,"F37BLow","Willow","Seedling","Depth","Soft",99.4426972151156,99.4198836508221,99.3856633043818,"High"
"11","critical","MC",NA,"F37BLow","Willow","Seedling","Depth","Soft",99.2846318053677,99.2031547900337,98.9179852363648,"High"
"12","critical","ROB",NA,"F37BLow","Willow","Seedling","Depth","Soft",99.6692033177441,99.6692033177441,99.6692033177441,"High"
"13","critical","MC",NA,"F45B","Willow","Seedling","Depth","Concrete",99.6089103263969,99.5535059559698,99.4084768686754,"High"
"14","critical","LOB",NA,"F57C","Willow","Seedling","Depth","Soft",0.0994019587074486,0.00162954030667949,0.00162954030667949,"Low"
"15","critical","MC",NA,"F57C","Willow","Seedling","Depth","Soft",90.8191699121678,43.0133459351117,0.0635520719604999,"Partial"
"16","critical","ROB",NA,"F57C","Willow","Seedling","Depth","Soft",98.3411279678003,98.3411279678003,98.3411279678003,"High"
"17","critical","LOB",NA,"GLEN","Willow","Seedling","Depth","Soft",90.0630632098685,1.38673880098424,0.00162954030667949,"Partial"
"18","critical","MC",NA,"GLEN","Willow","Seedling","Depth","Soft",98.1129923248652,97.8376000130363,97.2721495266185,"High"
"19","critical","ROB",NA,"GLEN","Willow","Seedling","Depth","Soft",96.6284811054801,96.0614010787557,92.6621799990223,"High"
"20","critical","MC",NA,"LA1","Willow","Seedling","Depth","Concrete",38.6722505581176,0.00814770153339743,0.00162954030667949,"Partial"
"21","critical","LOB",NA,"LA11","Willow","Seedling","Depth","Soft",97.7153844900354,97.3014812521388,96.6741082340672,"High"
"22","critical","MC",NA,"LA11","Willow","Seedling","Depth","Soft",87.325435494647,29.0612218293219,0.0277021852135513,"Partial"
"23","critical","ROB",NA,"LA11","Willow","Seedling","Depth","Soft",98.3949027979207,98.2677986539997,98.002183584011,"High"
"24","critical","MC",NA,"LA13","Willow","Seedling","Depth","Concrete",99.1884889272736,98.8120651164307,98.1895807192791,"High"
"25","critical","LOB",NA,"LA14","Willow","Seedling","Depth","Soft",97.1613407857643,96.6268515651735,95.6295728974856,"High"
"26","critical","MC",NA,"LA14","Willow","Seedling","Depth","Soft",98.5415614255219,98.4030504994541,98.2026170417325,"High"
"27","critical","ROB",NA,"LA14","Willow","Seedling","Depth","Soft",95.5806866882852,90.9576808382355,0.0260726449068718,"Partial"
"28","critical","LOB",NA,"LA2","Willow","Seedling","Depth","Soft",98.8413968419509,98.72895856079,98.5497091270553,"High"
"29","critical","MC",NA,"LA2","Willow","Seedling","Depth","Soft",0.00162954030667949,0.00162954030667949,0.00162954030667949,"Low"
"30","critical","ROB",NA,"LA2","Willow","Seedling","Depth","Soft",98.2906122182932,98.1358058891587,97.8229341502762,"High"
"31","critical","LOB",NA,"LA20","Willow","Seedling","Depth","Soft",98.7794743102971,98.596965795949,98.3378688871869,"High"
"32","critical","MC",NA,"LA20","Willow","Seedling","Depth","Soft",94.9663499926671,91.5149836231199,70.257630322486,"Partial"
"33","critical","ROB",NA,"LA20","Willow","Seedling","Depth","Soft",98.7925106327505,98.606743037789,98.3509052096404,"High"
"34","critical","LOB",NA,"LA202","Willow","Seedling","Depth","Soft",99.4443267554223,99.4117359492887,99.3547020385549,"High"
"35","critical","MC",NA,"LA202","Willow","Seedling","Depth","Soft",0.00814770153339743,0.00814770153339743,0.00814770153339743,"Low"
"36","critical","ROB",NA,"LA202","Willow","Seedling","Depth","Soft",99.4068473283687,99.3677383610084,99.3253703130347,"High"
"37","critical","LOB",NA,"LA3","Willow","Seedling","Depth","Soft",98.129287727932,97.6779050629817,96.6007789202666,"High"
"38","critical","MC",NA,"LA3","Willow","Seedling","Depth","Soft",23.7619567520003,0.00162954030667949,0.00162954030667949,"Low"
"39","critical","ROB",NA,"LA3","Willow","Seedling","Depth","Soft",98.129287727932,97.6779050629817,96.6007789202666,"High"
"40","critical","LOB",NA,"LA8","Willow","Seedling","Depth","Soft",97.971222318184,97.1645998663777,94.4693401991298,"High"
"41","critical","MC",NA,"LA8","Willow","Seedling","Depth","Soft",94.6974758420649,14.5322404549677,0.00162954030667949,"Partial"
"42","critical","ROB",NA,"LA8","Willow","Seedling","Depth","Soft",97.971222318184,97.1645998663777,94.4693401991298,"High"
