"","water_year","month","TimePeriod","position","Node","Species","Life_Stage","Hydraulic","bottom_type","Low","Medium","High","Suitability_Class"
"1",NA,NA,"critical","LOB","11101250","Willow","Seedling","Depth","Soft",105,109,116,"High"
"2",NA,NA,"critical","MC","11101250","Willow","Seedling","Depth","Soft",5,2,0,"Low"
"3",NA,NA,"critical","ROB","11101250","Willow","Seedling","Depth","Soft",113,116,123,"High"
"4",NA,NA,"critical","LOB","F300","Willow","Seedling","Depth","Soft",99,107,117,"High"
"5",NA,NA,"critical","MC","F300","Willow","Seedling","Depth","Soft",18,6,3,"Partial"
"6",NA,NA,"critical","ROB","F300","Willow","Seedling","Depth","Soft",99,107,117,"High"
"7",NA,NA,"critical","MC","F319","Willow","Seedling","Depth","Concrete",0,0,0,"Low"
"8",NA,NA,"critical","MC","F34D","Willow","Seedling","Depth","Concrete",135,0,0,"Partial"
"9",NA,NA,"critical","MC","F37BHigh","Willow","Seedling","Depth","Soft",64,75,92,"High"
"10",NA,NA,"critical","LOB","F37BLow","Willow","Seedling","Depth","Soft",44,45,48,"High"
"11",NA,NA,"critical","MC","F37BLow","Willow","Seedling","Depth","Soft",56,61,72,"High"
"12",NA,NA,"critical","ROB","F37BLow","Willow","Seedling","Depth","Soft",29,29,29,"High"
"13",NA,NA,"critical","MC","F45B","Willow","Seedling","Depth","Concrete",17,25,41,"High"
"14",NA,NA,"critical","LOB","F57C","Willow","Seedling","Depth","Soft",0,0,0,"Low"
"15",NA,NA,"critical","MC","F57C","Willow","Seedling","Depth","Soft",132,118,0,"Partial"
"16",NA,NA,"critical","ROB","F57C","Willow","Seedling","Depth","Soft",112,112,112,"High"
"17",NA,NA,"critical","LOB","GLEN","Willow","Seedling","Depth","Soft",142,0,0,"Partial"
"18",NA,NA,"critical","MC","GLEN","Willow","Seedling","Depth","Soft",116,119,121,"High"
"19",NA,NA,"critical","ROB","GLEN","Willow","Seedling","Depth","Soft",122,122,136,"High"
"20",NA,NA,"critical","MC","LA1","Willow","Seedling","Depth","Concrete",72,0,0,"Partial"
"21",NA,NA,"critical","LOB","LA11","Willow","Seedling","Depth","Soft",119,123,122,"High"
"22",NA,NA,"critical","MC","LA11","Willow","Seedling","Depth","Soft",139,17,0,"Partial"
"23",NA,NA,"critical","ROB","LA11","Willow","Seedling","Depth","Soft",107,113,120,"High"
"24",NA,NA,"critical","MC","LA13","Willow","Seedling","Depth","Concrete",80,94,115,"High"
"25",NA,NA,"critical","LOB","LA14","Willow","Seedling","Depth","Soft",121,119,128,"High"
"26",NA,NA,"critical","MC","LA14","Willow","Seedling","Depth","Soft",104,109,114,"High"
"27",NA,NA,"critical","ROB","LA14","Willow","Seedling","Depth","Soft",128,140,0,"Partial"
"28",NA,NA,"critical","LOB","LA2","Willow","Seedling","Depth","Soft",83,84,88,"High"
"29",NA,NA,"critical","MC","LA2","Willow","Seedling","Depth","Soft",0,0,0,"Low"
"30",NA,NA,"critical","ROB","LA2","Willow","Seedling","Depth","Soft",99,103,104,"High"
"31",NA,NA,"critical","LOB","LA20","Willow","Seedling","Depth","Soft",98,105,113,"High"
"32",NA,NA,"critical","MC","LA20","Willow","Seedling","Depth","Soft",125,164,310,"High"
"33",NA,NA,"critical","ROB","LA20","Willow","Seedling","Depth","Soft",97,105,113,"High"
"34",NA,NA,"critical","LOB","LA202","Willow","Seedling","Depth","Soft",75,77,80,"High"
"35",NA,NA,"critical","MC","LA202","Willow","Seedling","Depth","Soft",0,0,0,"Low"
"36",NA,NA,"critical","ROB","LA202","Willow","Seedling","Depth","Soft",77,79,80,"High"
"37",NA,NA,"critical","LOB","LA3","Willow","Seedling","Depth","Soft",105,115,121,"High"
"38",NA,NA,"critical","MC","LA3","Willow","Seedling","Depth","Soft",31,0,0,"Partial"
"39",NA,NA,"critical","ROB","LA3","Willow","Seedling","Depth","Soft",105,115,121,"High"
"40",NA,NA,"critical","LOB","LA8","Willow","Seedling","Depth","Soft",122,126,136,"High"
"41",NA,NA,"critical","MC","LA8","Willow","Seedling","Depth","Soft",134,4,0,"Partial"
"42",NA,NA,"critical","ROB","LA8","Willow","Seedling","Depth","Soft",122,126,136,"High"
