"","Node","Species","Life_Stage","sp_code","Node_Class"
"1","11101250","Cladophora","Adult","Cladophora_Adult","Low"
"2","F300","Cladophora","Adult","Cladophora_Adult","High"
"3","F37BLow","Cladophora","Adult","Cladophora_Adult","Low"
"4","F57C","Cladophora","Adult","Cladophora_Adult","High"
"5","GLEN","Cladophora","Adult","Cladophora_Adult","Low"
"6","LA11","Cladophora","Adult","Cladophora_Adult","Partial"
"7","LA14","Cladophora","Adult","Cladophora_Adult","High"
"8","LA2","Cladophora","Adult","Cladophora_Adult","Low"
"9","LA20","Cladophora","Adult","Cladophora_Adult","Partial"
"10","LA202","Cladophora","Adult","Cladophora_Adult","Low"
"11","LA3","Cladophora","Adult","Cladophora_Adult","High"
"12","LA8","Cladophora","Adult","Cladophora_Adult","High"
"13","F319","Cladophora","Adult","Cladophora_Adult","Partial"
"14","F34D","Cladophora","Adult","Cladophora_Adult","High"
"15","F37BHigh","Cladophora","Adult","Cladophora_Adult","Low"
"16","F45B","Cladophora","Adult","Cladophora_Adult","Low"
"17","LA1","Cladophora","Adult","Cladophora_Adult","Low"
"18","LA13","Cladophora","Adult","Cladophora_Adult","Low"
"19","11101250","SAS","Adult","SAS_Adult","Low"
"20","F300","SAS","Adult","SAS_Adult","Partial"
"21","F37BLow","SAS","Adult","SAS_Adult","Low"
"22","F57C","SAS","Adult","SAS_Adult","Partial"
"23","GLEN","SAS","Adult","SAS_Adult","Partial"
"24","LA11","SAS","Adult","SAS_Adult","Partial"
"25","LA14","SAS","Adult","SAS_Adult","Partial"
"26","LA2","SAS","Adult","SAS_Adult","Partial"
"27","LA20","SAS","Adult","SAS_Adult","Partial"
"28","LA202","SAS","Adult","SAS_Adult","Low"
"29","LA3","SAS","Adult","SAS_Adult","Partial"
"30","LA8","SAS","Adult","SAS_Adult","Partial"
"31","F319","SAS","Adult","SAS_Adult","High"
"32","F34D","SAS","Adult","SAS_Adult","High"
"33","F37BHigh","SAS","Adult","SAS_Adult","Low"
"34","F45B","SAS","Adult","SAS_Adult","Low"
"35","LA1","SAS","Adult","SAS_Adult","Partial"
"36","LA13","SAS","Adult","SAS_Adult","Partial"
"37","11101250","SAS","Juvenile","SAS_Juvenile","Partial"
"38","F300","SAS","Juvenile","SAS_Juvenile","Partial"
"39","F37BLow","SAS","Juvenile","SAS_Juvenile","Low"
"40","F57C","SAS","Juvenile","SAS_Juvenile","High"
"41","GLEN","SAS","Juvenile","SAS_Juvenile","High"
"42","LA11","SAS","Juvenile","SAS_Juvenile","High"
"43","LA14","SAS","Juvenile","SAS_Juvenile","Partial"
"44","LA2","SAS","Juvenile","SAS_Juvenile","Partial"
"45","LA20","SAS","Juvenile","SAS_Juvenile","Partial"
"46","LA202","SAS","Juvenile","SAS_Juvenile","Partial"
"47","LA3","SAS","Juvenile","SAS_Juvenile","High"
"48","LA8","SAS","Juvenile","SAS_Juvenile","High"
"49","F319","SAS","Juvenile","SAS_Juvenile","High"
"50","F34D","SAS","Juvenile","SAS_Juvenile","High"
"51","F37BHigh","SAS","Juvenile","SAS_Juvenile","Low"
"52","F45B","SAS","Juvenile","SAS_Juvenile","Low"
"53","LA1","SAS","Juvenile","SAS_Juvenile","High"
"54","LA13","SAS","Juvenile","SAS_Juvenile","Partial"
"55","11101250","Steelhead","Migration","Steelhead_Migration","High"
"56","F300","Steelhead","Migration","Steelhead_Migration","High"
"57","F37BLow","Steelhead","Migration","Steelhead_Migration","Low"
"58","F57C","Steelhead","Migration","Steelhead_Migration","High"
"59","GLEN","Steelhead","Migration","Steelhead_Migration","High"
"60","LA11","Steelhead","Migration","Steelhead_Migration","High"
"61","LA14","Steelhead","Migration","Steelhead_Migration","High"
"62","LA2","Steelhead","Migration","Steelhead_Migration","High"
"63","LA20","Steelhead","Migration","Steelhead_Migration","Partial"
"64","LA202","Steelhead","Migration","Steelhead_Migration","High"
"65","LA3","Steelhead","Migration","Steelhead_Migration","High"
"66","LA8","Steelhead","Migration","Steelhead_Migration","High"
"67","F319","Steelhead","Migration","Steelhead_Migration","High"
"68","F34D","Steelhead","Migration","Steelhead_Migration","High"
"69","F37BHigh","Steelhead","Migration","Steelhead_Migration","Low"
"70","F45B","Steelhead","Migration","Steelhead_Migration","Low"
"71","LA1","Steelhead","Migration","Steelhead_Migration","High"
"72","LA13","Steelhead","Migration","Steelhead_Migration","Low"
"73","11101250","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"74","F300","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"75","F37BLow","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","Low"
"76","F57C","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"77","GLEN","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"78","LA11","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"79","LA14","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"80","LA2","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"81","LA20","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","Low"
"82","LA202","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"83","LA3","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"84","LA8","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"85","F319","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"86","F34D","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"87","F37BHigh","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","Low"
"88","F45B","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","Low"
"89","LA1","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","High"
"90","LA13","Steelhead","Migration_Prolonged","Steelhead_Migration_Prolonged","Low"
"91","11101250","Typha","Adult","Typha_Adult","High"
"92","F300","Typha","Adult","Typha_Adult","Partial"
"93","F37BLow","Typha","Adult","Typha_Adult","Low"
"94","F57C","Typha","Adult","Typha_Adult","Partial"
"95","GLEN","Typha","Adult","Typha_Adult","Partial"
"96","LA11","Typha","Adult","Typha_Adult","Partial"
"97","LA14","Typha","Adult","Typha_Adult","Partial"
"98","LA2","Typha","Adult","Typha_Adult","Low"
"99","LA20","Typha","Adult","Typha_Adult","Partial"
"100","LA202","Typha","Adult","Typha_Adult","Low"
"101","LA3","Typha","Adult","Typha_Adult","Partial"
"102","LA8","Typha","Adult","Typha_Adult","Partial"
"103","F319","Typha","Adult","Typha_Adult","Partial"
"104","F34D","Typha","Adult","Typha_Adult","Partial"
"105","F37BHigh","Typha","Adult","Typha_Adult","Low"
"106","F45B","Typha","Adult","Typha_Adult","Low"
"107","LA1","Typha","Adult","Typha_Adult","Partial"
"108","LA13","Typha","Adult","Typha_Adult","Partial"
"109","11101250","Willow","Adult","Willow_Adult","High"
"110","F300","Willow","Adult","Willow_Adult","High"
"111","F37BLow","Willow","Adult","Willow_Adult","High"
"112","F57C","Willow","Adult","Willow_Adult","High"
"113","GLEN","Willow","Adult","Willow_Adult","High"
"114","LA11","Willow","Adult","Willow_Adult","High"
"115","LA14","Willow","Adult","Willow_Adult","High"
"116","LA2","Willow","Adult","Willow_Adult","High"
"117","LA20","Willow","Adult","Willow_Adult","High"
"118","LA202","Willow","Adult","Willow_Adult","High"
"119","LA3","Willow","Adult","Willow_Adult","High"
"120","LA8","Willow","Adult","Willow_Adult","High"
"121","F319","Willow","Adult","Willow_Adult","High"
"122","F34D","Willow","Adult","Willow_Adult","High"
"123","F37BHigh","Willow","Adult","Willow_Adult","High"
"124","F45B","Willow","Adult","Willow_Adult","High"
"125","LA1","Willow","Adult","Willow_Adult","High"
"126","LA13","Willow","Adult","Willow_Adult","High"
"127","11101250","Willow","Seedling","Willow_Seedling","High"
"128","F300","Willow","Seedling","Willow_Seedling","High"
"129","F37BLow","Willow","Seedling","Willow_Seedling","Low"
