"","Node","Species","Life_Stage","position","sp_code","Check_Class"
"1","11101250","Cladophora","Adult","LOB","Cladophora_Adult","Low"
"2","11101250","SAS","Adult","LOB","SAS_Adult","Low"
"3","11101250","SAS","Juvenile","LOB","SAS_Juvenile","Low"
"4","11101250","Steelhead","Migration","LOB","Steelhead_Migration","Low"
"5","11101250","Steelhead","Migration_Prolonged","LOB","Steelhead_Migration_Prolonged","Low"
"6","11101250","Typha","Adult","LOB","Typha_Adult","Low"
"7","11101250","Willow","Adult","LOB","Willow_Adult","High"
"8","11101250","Willow","Seedling","LOB","Willow_Seedling","High"
"9","F300","Cladophora","Adult","LOB","Cladophora_Adult","Low"
"10","F300","SAS","Adult","LOB","SAS_Adult","Low"
"11","F300","SAS","Juvenile","LOB","SAS_Juvenile","Low"
"12","F300","Steelhead","Migration","LOB","Steelhead_Migration","Low"
"13","F300","Steelhead","Migration_Prolonged","LOB","Steelhead_Migration_Prolonged","Low"
"14","F300","Typha","Adult","LOB","Typha_Adult","Low"
"15","F300","Willow","Adult","LOB","Willow_Adult","High"
"16","F300","Willow","Seedling","LOB","Willow_Seedling","High"
"17","F37BLow","Cladophora","Adult","LOB","Cladophora_Adult","Low"
"18","F37BLow","SAS","Adult","LOB","SAS_Adult","Low"
"19","F37BLow","SAS","Juvenile","LOB","SAS_Juvenile","Low"
"20","F37BLow","Steelhead","Migration","LOB","Steelhead_Migration","Low"
"21","F37BLow","Steelhead","Migration_Prolonged","LOB","Steelhead_Migration_Prolonged","Low"
"22","F37BLow","Typha","Adult","LOB","Typha_Adult","Low"
"23","F37BLow","Willow","Adult","LOB","Willow_Adult","High"
"24","F37BLow","Willow","Seedling","LOB","Willow_Seedling","Low"
"25","F57C","Cladophora","Adult","LOB","Cladophora_Adult","High"
"26","F57C","SAS","Adult","LOB","SAS_Adult","Low"
"27","F57C","SAS","Juvenile","LOB","SAS_Juvenile","High"
"28","F57C","Steelhead","Migration","LOB","Steelhead_Migration","High"
"29","F57C","Steelhead","Migration_Prolonged","LOB","Steelhead_Migration_Prolonged","High"
"30","F57C","Typha","Adult","LOB","Typha_Adult","Low"
"31","F57C","Willow","Adult","LOB","Willow_Adult","High"
"32","F57C","Willow","Seedling","LOB","Willow_Seedling","Low"
"33","GLEN","Cladophora","Adult","LOB","Cladophora_Adult","Low"
"34","GLEN","SAS","Adult","LOB","SAS_Adult","Partial"
"35","GLEN","SAS","Juvenile","LOB","SAS_Juvenile","High"
"36","GLEN","Steelhead","Migration","LOB","Steelhead_Migration","High"
"37","GLEN","Steelhead","Migration_Prolonged","LOB","Steelhead_Migration_Prolonged","High"
"38","GLEN","Typha","Adult","LOB","Typha_Adult","Partial"
"39","GLEN","Willow","Adult","LOB","Willow_Adult","High"
"40","GLEN","Willow","Seedling","LOB","Willow_Seedling","Partial"
"41","LA11","Cladophora","Adult","LOB","Cladophora_Adult","Low"
"42","LA11","SAS","Adult","LOB","SAS_Adult","Low"
"43","LA11","SAS","Juvenile","LOB","SAS_Juvenile","Low"
"44","LA11","Steelhead","Migration","LOB","Steelhead_Migration","Low"
"45","LA11","Steelhead","Migration_Prolonged","LOB","Steelhead_Migration_Prolonged","Low"
"46","LA11","Typha","Adult","LOB","Typha_Adult","Low"
"47","LA11","Willow","Adult","LOB","Willow_Adult","High"
"48","LA11","Willow","Seedling","LOB","Willow_Seedling","High"
"49","LA14","Cladophora","Adult","LOB","Cladophora_Adult","High"
"50","LA14","SAS","Adult","LOB","SAS_Adult","Partial"
"51","LA14","SAS","Juvenile","LOB","SAS_Juvenile","Partial"
"52","LA14","Steelhead","Migration","LOB","Steelhead_Migration","Low"
"53","LA14","Steelhead","Migration_Prolonged","LOB","Steelhead_Migration_Prolonged","Low"
"54","LA14","Typha","Adult","LOB","Typha_Adult","Partial"
"55","LA14","Willow","Adult","LOB","Willow_Adult","High"
