"","Node","Cladophora_Adult","SAS_Adult","SAS_Juvenile","Steelhead_Migration","Steelhead_Migration_Prolonged","Typha_Adult","Willow_Adult","Willow_Seedling"
"1","11101250","Low","Low","Partial","High","High","High","High","High"
"2","F300","High","Partial","Partial","High","High","Partial","High","High"
"3","F37BLow","Low","Low","Low","Low","Low","Low","High","Low"
"4","F57C","High","Partial","High","High","High","Partial","High","High"
"5","GLEN","Low","Partial","High","High","High","Partial","High","Partial"
"6","LA11","Partial","Partial","High","High","High","Partial","High","High"
"7","LA14","High","Partial","Partial","High","High","Partial","High","High"
"8","LA2","Low","Partial","Partial","High","High","Low","High","High"
"9","LA20","Partial","Partial","Partial","Partial","Low","Partial","High","High"
"10","LA202","Low","Low","Partial","High","High","Low","High","High"
"11","LA3","High","Partial","High","High","High","Partial","High","Low"
"12","LA8","High","Partial","High","High","High","Partial","High","High"
"13","F319","Partial","High","High","High","High","Partial","High","Low"
"14","F34D","High","High","High","High","High","Partial","High","Low"
"15","F37BHigh","Low","Low","Low","Low","Low","Low","High","High"
"16","F45B","Low","Low","Low","Low","Low","Low","High","High"
"17","LA1","Low","Partial","High","High","High","Partial","High","Low"
"18","LA13","Low","Partial","Partial","Low","Low","Partial","High","Low"
