Type,Species,Life_Stage,Hydraulic,Node,ProbabilityThreshold,Position,Limits,Unit,Q_Calculation,TimePeriod,bottom_type,MaxPercentage,MeanPercentage
Q_limit,Cladophora,Adult,Depth,11101250,Low,LOB,70.05,cm,Q >= newx1a,critical,Soft,30.9966891197625,7.86130958179969
Q_limit,Cladophora,Adult,Depth,11101250,Low,MC,2559.44,cm,Q >= min_limit & Q <= newx1a,critical,Soft,99.9771689497717,92.9427232206575
Q_limit,Cladophora,Adult,Depth,11101250,Low,ROB,51,cm,Q >= newx1a,critical,Soft,34.3646534992579,8.6610522841066
Q_limit,Cladophora,Adult,Depth,11101250,Medium,LOB,2851.19,cm,Q >= min_limit & Q <= newx2a,critical,Soft,30.9966891197625,7.86130958179969
Q_limit,Cladophora,Adult,Depth,11101250,Medium,MC,249.2,cm,Q >= min_limit & Q <= newx2a,critical,Soft,99.9771689497717,92.9427232206575
Q_limit,Cladophora,Adult,Depth,11101250,Medium,ROB,2547.68,cm,Q >= min_limit & Q <= newx2a,critical,Soft,34.3646534992579,8.6610522841066
Q_limit,Cladophora,Adult,Depth,11101250,High,LOB,539.47,cm,Q >= min_limit & Q <= newx3a,critical,Soft,30.9966891197625,7.86130958179969
Q_limit,Cladophora,Adult,Depth,11101250,High,MC,4.19,cm,Q >= min_limit & Q <= newx3a,critical,Soft,99.9771689497717,92.9427232206575
Q_limit,Cladophora,Adult,Depth,11101250,High,ROB,445.23,cm,Q >= min_limit & Q <= newx3a,critical,Soft,34.3646534992579,8.6610522841066
Hydraulic_limit,Cladophora,Adult,Depth,11101250,Low,LOB,0,cm,Q >= newx1a,critical,Soft,30.9966891197625,7.86130958179969
Hydraulic_limit,Cladophora,Adult,Depth,11101250,Low,MC,318.17,cm,Q >= min_limit & Q <= newx1a,critical,Soft,99.9771689497717,92.9427232206575
Hydraulic_limit,Cladophora,Adult,Depth,11101250,Low,ROB,0,cm,Q >= newx1a,critical,Soft,34.3646534992579,8.6610522841066
Hydraulic_limit,Cladophora,Adult,Depth,11101250,Medium,LOB,186.73,cm,Q >= min_limit & Q <= newx2a,critical,Soft,30.9966891197625,7.86130958179969
Hydraulic_limit,Cladophora,Adult,Depth,11101250,Medium,MC,186.73,cm,Q >= min_limit & Q <= newx2a,critical,Soft,99.9771689497717,92.9427232206575
Hydraulic_limit,Cladophora,Adult,Depth,11101250,Medium,ROB,186.73,cm,Q >= min_limit & Q <= newx2a,critical,Soft,34.3646534992579,8.6610522841066
Hydraulic_limit,Cladophora,Adult,Depth,11101250,High,LOB,80.6,cm,Q >= min_limit & Q <= newx3a,critical,Soft,30.9966891197625,7.86130958179969
Hydraulic_limit,Cladophora,Adult,Depth,11101250,High,MC,80.6,cm,Q >= min_limit & Q <= newx3a,critical,Soft,99.9771689497717,92.9427232206575
Hydraulic_limit,Cladophora,Adult,Depth,11101250,High,ROB,80.6,cm,Q >= min_limit & Q <= newx3a,critical,Soft,34.3646534992579,8.6610522841066
Q_limit,Cladophora,Adult,Velocity,11101250,Low,LOB,7260.93,m,Q >= newx1a,critical,Soft,0.0114168284050691,0.00162936612733578
Q_limit,Cladophora,Adult,Velocity,11101250,Low,MC,1232.47,m,Q >= newx1a,critical,Soft,1.5869391483046,0.289591078266764
Q_limit,Cladophora,Adult,Velocity,11101250,Low,ROB,6224.61,m,Q >= newx1a,critical,Soft,0.0570776255707763,0.00434741035884483
Q_limit,Cladophora,Adult,Velocity,11101250,Medium,MC,2287.81,m,Q >= newx2a,critical,Soft,1.5869391483046,0.289591078266764
Q_limit,Cladophora,Adult,Velocity,11101250,High,MC,3603.18,m,Q >= newx3a,critical,Soft,1.5869391483046,0.289591078266764
Hydraulic_limit,Cladophora,Adult,Velocity,11101250,Low,LOB,0.39,m,Q >= newx1a,critical,Soft,0.0114168284050691,0.00162936612733578
Hydraulic_limit,Cladophora,Adult,Velocity,11101250,Low,MC,0.39,m,Q >= newx1a,critical,Soft,1.5869391483046,0.289591078266764
Hydraulic_limit,Cladophora,Adult,Velocity,11101250,Low,ROB,0.39,m,Q >= newx1a,critical,Soft,0.0570776255707763,0.00434741035884483
Hydraulic_limit,Cladophora,Adult,Velocity,11101250,Medium,MC,0.55,m,Q >= newx2a,critical,Soft,1.5869391483046,0.289591078266764
Hydraulic_limit,Cladophora,Adult,Velocity,11101250,High,MC,0.7,m,Q >= newx3a,critical,Soft,1.5869391483046,0.289591078266764
Q_limit,Cladophora,Adult,Depth,F300,Low,LOB,24316.09,cm,Q >= min_limit & Q <= newx1a,critical,Soft,12.7625570776256,5.57000617661409
Q_limit,Cladophora,Adult,Depth,F300,Low,MC,14533.44,cm,Q >= min_limit & Q <= newx1a,critical,Soft,100,97.7405674266529
Q_limit,Cladophora,Adult,Depth,F300,Low,ROB,24316.09,cm,Q >= min_limit & Q <= newx1a,critical,Soft,12.7625570776256,5.57000617661409
Q_limit,Cladophora,Adult,Depth,F300,Medium,LOB,11395.03,cm,Q >= min_limit & Q <= newx2a,critical,Soft,12.7625570776256,5.57000617661409
Q_limit,Cladophora,Adult,Depth,F300,Medium,MC,4003.22,cm,Q >= min_limit & Q <= newx2a,critical,Soft,100,97.7405674266529
Q_limit,Cladophora,Adult,Depth,F300,Medium,ROB,11395.03,cm,Q >= min_limit & Q <= newx2a,critical,Soft,12.7625570776256,5.57000617661409
Q_limit,Cladophora,Adult,Depth,F300,High,LOB,3402.62,cm,Q >= min_limit & Q <= newx3a,critical,Soft,12.7625570776256,5.57000617661409
Q_limit,Cladophora,Adult,Depth,F300,High,MC,99.94,cm,Q >= min_limit & Q <= newx3a,critical,Soft,100,97.7405674266529
Q_limit,Cladophora,Adult,Depth,F300,High,ROB,3402.62,cm,Q >= min_limit & Q <= newx3a,critical,Soft,12.7625570776256,5.57000617661409
Hydraulic_limit,Cladophora,Adult,Depth,F300,Low,LOB,318.17,cm,Q >= min_limit & Q <= newx1a,critical,Soft,12.7625570776256,5.57000617661409
Hydraulic_limit,Cladophora,Adult,Depth,F300,Low,MC,318.18,cm,Q >= min_limit & Q <= newx1a,critical,Soft,100,97.7405674266529
Hydraulic_limit,Cladophora,Adult,Depth,F300,Low,ROB,318.17,cm,Q >= min_limit & Q <= newx1a,critical,Soft,12.7625570776256,5.57000617661409
Hydraulic_limit,Cladophora,Adult,Depth,F300,Medium,LOB,186.73,cm,Q >= min_limit & Q <= newx2a,critical,Soft,12.7625570776256,5.57000617661409
Hydraulic_limit,Cladophora,Adult,Depth,F300,Medium,MC,186.73,cm,Q >= min_limit & Q <= newx2a,critical,Soft,100,97.7405674266529
Hydraulic_limit,Cladophora,Adult,Depth,F300,Medium,ROB,186.73,cm,Q >= min_limit & Q <= newx2a,critical,Soft,12.7625570776256,5.57000617661409
Hydraulic_limit,Cladophora,Adult,Depth,F300,High,LOB,80.6,cm,Q >= min_limit & Q <= newx3a,critical,Soft,12.7625570776256,5.57000617661409
Hydraulic_limit,Cladophora,Adult,Depth,F300,High,MC,80.82,cm,Q >= min_limit & Q <= newx3a,critical,Soft,100,97.7405674266529
Hydraulic_limit,Cladophora,Adult,Depth,F300,High,ROB,80.6,cm,Q >= min_limit & Q <= newx3a,critical,Soft,12.7625570776256,5.57000617661409
Q_limit,Cladophora,Adult,Velocity,F300,Low,LOB,220.03,m,Q >= newx1a,critical,Soft,9.21338052289074,2.76581027436998
Q_limit,Cladophora,Adult,Velocity,F300,Low,MC,1.81,m,Q >= newx1a,critical,Soft,100,99.8766421296456
Q_limit,Cladophora,Adult,Velocity,F300,Low,ROB,220.03,m,Q >= newx1a,critical,Soft,9.21338052289074,2.76581027436998
Q_limit,Cladophora,Adult,Velocity,F300,Medium,LOB,300.22,m,Q >= newx2a,critical,Soft,9.21338052289074,2.76581027436998
Q_limit,Cladophora,Adult,Velocity,F300,Medium,MC,4.86,m,Q >= newx2a,critical,Soft,100,99.8766421296456
Q_limit,Cladophora,Adult,Velocity,F300,Medium,ROB,300.22,m,Q >= newx2a,critical,Soft,9.21338052289074,2.76581027436998
Q_limit,Cladophora,Adult,Velocity,F300,High,LOB,395.37,m,Q >= newx3a,critical,Soft,9.21338052289074,2.76581027436998
Q_limit,Cladophora,Adult,Velocity,F300,High,MC,12.69,m,Q >= newx3a,critical,Soft,100,99.8766421296456
Q_limit,Cladophora,Adult,Velocity,F300,High,ROB,395.37,m,Q >= newx3a,critical,Soft,9.21338052289074,2.76581027436998
Hydraulic_limit,Cladophora,Adult,Velocity,F300,Low,LOB,0.39,m,Q >= newx1a,critical,Soft,9.21338052289074,2.76581027436998
Hydraulic_limit,Cladophora,Adult,Velocity,F300,Low,MC,0.34,m,Q >= newx1a,critical,Soft,100,99.8766421296456
Hydraulic_limit,Cladophora,Adult,Velocity,F300,Low,ROB,0.39,m,Q >= newx1a,critical,Soft,9.21338052289074,2.76581027436998
Hydraulic_limit,Cladophora,Adult,Velocity,F300,Medium,LOB,0.55,m,Q >= newx2a,critical,Soft,9.21338052289074,2.76581027436998
Hydraulic_limit,Cladophora,Adult,Velocity,F300,Medium,MC,0.55,m,Q >= newx2a,critical,Soft,100,99.8766421296456
Hydraulic_limit,Cladophora,Adult,Velocity,F300,Medium,ROB,0.55,m,Q >= newx2a,critical,Soft,9.21338052289074,2.76581027436998
Hydraulic_limit,Cladophora,Adult,Velocity,F300,High,LOB,0.7,m,Q >= newx3a,critical,Soft,9.21338052289074,2.76581027436998
Hydraulic_limit,Cladophora,Adult,Velocity,F300,High,MC,0.7,m,Q >= newx3a,critical,Soft,100,99.8766421296456
Hydraulic_limit,Cladophora,Adult,Velocity,F300,High,ROB,0.7,m,Q >= newx3a,critical,Soft,9.21338052289074,2.76581027436998
Q_limit,Cladophora,Adult,Depth,F319,Low,MC,36107.47,cm,Q >= min_limit & Q <= newx1a,critical,Concrete,100,99.3985273783342
Q_limit,Cladophora,Adult,Depth,F319,Medium,MC,13447.84,cm,Q >= min_limit & Q <= newx2a,critical,Concrete,100,99.3985273783342
Q_limit,Cladophora,Adult,Depth,F319,High,MC,2151.53,cm,Q >= min_limit & Q <= newx3a,critical,Concrete,100,99.3985273783342
